,term,grade,emp_length,annual_inc,pymnt_plan,out_prncp_inv,delinq_2yrs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
27543,36.0,3.0,4.0,38000.0,0.0,9151.96,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
92638,60.0,3.0,1.0,87112.0,0.0,17713.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18031,36.0,3.0,5.0,55000.0,1.0,11441.39,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25467,60.0,4.0,,30000.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
67887,36.0,4.0,8.0,68000.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72448,36.0,3.0,10.0,116000.0,0.0,22874.93,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80768,60.0,3.0,10.0,146000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
95982,36.0,3.0,0.0,24000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
72732,36.0,4.0,9.0,89000.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57725,60.0,5.0,2.0,108662.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28521,60.0,3.0,4.0,60000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
57675,36.0,4.0,6.0,40000.0,0.0,10141.58,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73668,36.0,2.0,9.0,45133.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96544,36.0,4.0,,13000.0,0.0,1504.23,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
70876,36.0,4.0,10.0,64000.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
89805,36.0,3.0,3.0,45000.0,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
24056,36.0,3.0,2.0,48188.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
71026,36.0,2.0,7.0,82000.0,0.0,15058.15,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66337,36.0,3.0,2.0,50000.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
34180,36.0,4.0,2.0,36500.0,0.0,7762.65,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
54852,60.0,4.0,0.0,120000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
55806,36.0,2.0,10.0,115000.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77905,60.0,3.0,2.0,60000.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
63638,36.0,3.0,2.0,50000.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
618,36.0,3.0,,27444.0,0.0,0.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
